position	read_id	orientation	next_read_id	next_orientation	overlap_len	shift	identity	mapq
21	SRR27862880.157001_m2	+1	SRR27862880.187501_m2	+1	147	4	1.00000000	0
22	SRR27862880.187501_m2	+1	SRR27862880.1001_m2	+1	135	16	1.00000000	0
23	SRR27862880.1001_m2	+1	SRR27862880.29501_m1	+1	134	16	1.00000000	0
24	SRR27862880.29501_m1	+1	SRR27862880.164001_m2	+1	145	6	1.00000000	0
25	SRR27862880.164001_m2	+1	SRR27862880.71501_m1	-1	140	10	1.00000000	0
26	SRR27862880.71501_m1	-1	SRR27862880.166501_m2	-1	125	25	1.00000000	0
27	SRR27862880.166501_m2	-1	SRR27862880.60001_m1	+1	138	13	1.00000000	0
28	SRR27862880.60001_m1	+1	SRR27862880.25001_m2	+1	140	9	1.00000000	0
29	SRR27862880.25001_m2	+1	SRR27862880.165501_m2	-1	144	7	1.00000000	0
30	SRR27862880.165501_m2	-1	SRR27862880.197001_m1	-1	140	10	1.00000000	0
31	SRR27862880.197001_m1	-1	SRR27862880.220501_m1	+1	142	9	1.00000000	0
32	SRR27862880.220501_m1	+1	SRR27862880.125001_m1	+1	114	37	1.00000000	0
33	SRR27862880.125001_m1	+1	SRR27862880.142501_m1	-1	133	18	1.00000000	0
34	SRR27862880.142501_m1	-1	SRR27862880.7501_m1	+1	126	24	1.00000000	0
35	SRR27862880.7501_m1	+1	SRR27862880.52501_m1	+1	133	18	1.00000000	0
36	SRR27862880.52501_m1	+1	SRR27862880.232501_m1	-1	142	8	1.00000000	0
37	SRR27862880.232501_m1	-1	SRR27862880.42001_m1	+1	132	19	1.00000000	0
38	SRR27862880.42001_m1	+1	SRR27862880.187501_m1	-1	144	7	1.00000000	0
39	SRR27862880.187501_m1	-1	SRR27862880.160501_m1	+1	143	7	1.00000000	0
40	SRR27862880.160501_m1	+1	SRR27862880.70001_m2	+1	143	8	1.00000000	0
41	SRR27862880.70001_m2	+1	SRR27862880.501_m2	+1	134	17	1.00000000	0
42	SRR27862880.501_m2	+1	SRR27862880.164001_m1	-1	127	24	1.00000000	0
43	SRR27862880.164001_m1	-1	SRR27862880.121501_m2	+1	144	7	1.00000000	0
44	SRR27862880.121501_m2	+1	SRR27862880.37501_m2	+1	137	14	1.00000000	0
45	SRR27862880.37501_m2	+1	SRR27862880.65001_m1	+1	134	15	1.00000000	0
46	SRR27862880.65001_m1	+1	SRR27862880.93501_m2	+1	143	8	1.00000000	0
47	SRR27862880.93501_m2	+1	SRR27862880.125001_m2	-1	145	6	0.99310345	0
48	SRR27862880.125001_m2	-1	SRR27862880.220501_m2	-1	143	8	0.99300699	0
49	SRR27862880.220501_m2	-1	SRR27862880.214501_m1	-1	143	7	1.00000000	0
50	SRR27862880.214501_m1	-1	SRR27862880.156501_m1	+1	136	14	1.00000000	0
51	SRR27862880.156501_m1	+1	SRR27862880.93001_m1	+1	132	19	1.00000000	0
52	SRR27862880.93001_m1	+1	SRR27862880.102001_m2	+1	130	21	1.00000000	0
53	SRR27862880.102001_m2	+1	SRR27862880.222001_m1	-1	130	20	1.00000000	0
54	SRR27862880.222001_m1	-1	SRR27862880.91001_m2	+1	128	23	1.00000000	0
55	SRR27862880.91001_m2	+1	SRR27862880.183501_m2	+1	146	5	1.00000000	0
56	SRR27862880.183501_m2	+1	SRR27862880.70001_m1	-1	147	3	1.00000000	0
57	SRR27862880.70001_m1	-1	SRR27862880.52501_m2	-1	142	9	0.99295775	0
58	SRR27862880.52501_m2	-1	SRR27862880.128001_m1	+1	138	13	0.99275362	0
59	SRR27862880.128001_m1	+1	SRR27862880.248001_m1	+1	148	3	1.00000000	0
60	SRR27862880.248001_m1	+1	SRR27862880.210501_m2	+1	146	5	1.00000000	0
61	SRR27862880.210501_m2	+1	SRR27862880.148501_m1	-1	148	3	1.00000000	0
62	SRR27862880.148501_m1	-1	SRR27862880.37501_m1	-1	135	16	1.00000000	0
63	SRR27862880.37501_m1	-1	SRR27862880.121501_m1	-1	133	18	1.00000000	0
64	SRR27862880.121501_m1	-1	SRR27862880.93501_m1	-1	131	19	1.00000000	0
65	SRR27862880.93501_m1	-1	SRR27862880.13001_m2	-1	147	4	1.00000000	0
66	SRR27862880.13001_m2	-1	SRR27862880.224001_m2	-1	135	15	1.00000000	0
67	SRR27862880.224001_m2	-1	SRR27862880.93001_m2	-1	131	20	1.00000000	0
68	SRR27862880.93001_m2	-1	SRR27862880.90501_m2	-1	139	11	1.00000000	0
69	SRR27862880.90501_m2	-1	SRR27862880.163001_m1	-1	144	7	1.00000000	0
70	SRR27862880.163001_m1	-1	SRR27862880.116501_m2	+1	121	28	1.00000000	0
71	SRR27862880.116501_m2	+1	SRR27862880.129001_m2	+1	139	12	1.00000000	0
72	SRR27862880.129001_m2	+1	SRR27862880.211501_m1	-1	134	17	1.00000000	0
73	SRR27862880.211501_m1	-1	SRR27862880.44001_m2	+1	143	8	1.00000000	0
74	SRR27862880.44001_m2	+1	SRR27862880.128001_m2	-1	147	4	1.00000000	0
75	SRR27862880.128001_m2	-1	SRR27862880.178501_m2	+1	139	11	1.00000000	0
76	SRR27862880.178501_m2	+1	SRR27862880.78501_m2	+1	139	10	1.00000000	0
77	SRR27862880.78501_m2	+1	SRR27862880.140501_m2	+1	149	2	1.00000000	0
78	SRR27862880.140501_m2	+1	SRR27862880.248001_m2	-1	140	11	1.00000000	0
79	SRR27862880.248001_m2	-1	SRR27862880.235501_m1	-1	140	11	1.00000000	0
80	SRR27862880.235501_m1	-1	SRR27862880.159001_m2	-1	141	10	1.00000000	0
81	SRR27862880.159001_m2	-1	SRR27862880.242501_m2	-1	134	17	1.00000000	0
82	SRR27862880.242501_m2	-1	SRR27862880.57001_m1	+1	147	4	1.00000000	0
83	SRR27862880.57001_m1	+1	SRR27862880.158001_m2	+1	141	10	1.00000000	0
84	SRR27862880.158001_m2	+1	SRR27862880.145001_m1	+1	137	13	1.00000000	0
85	SRR27862880.145001_m1	+1	SRR27862880.113501_m2	+1	141	10	1.00000000	0
86	SRR27862880.113501_m2	+1	SRR27862880.10501_m1	-1	147	4	1.00000000	0
87	SRR27862880.10501_m1	-1	SRR27862880.181501_m2	+1	136	15	1.00000000	0
88	SRR27862880.181501_m2	+1	SRR27862880.113501_m1	-1	128	22	1.00000000	0
89	SRR27862880.113501_m1	-1	SRR27862880.44001_m1	-1	131	20	1.00000000	0
90	SRR27862880.44001_m1	-1	SRR27862880.219501_m1	+1	136	15	1.00000000	0
91	SRR27862880.219501_m1	+1	SRR27862880.75501_m1	-1	139	12	1.00000000	0
92	SRR27862880.75501_m1	-1	SRR27862880.237501_m2	+1	146	5	1.00000000	0
93	SRR27862880.237501_m2	+1	SRR27862880.130501_m1	+1	136	14	1.00000000	0
94	SRR27862880.130501_m1	+1	SRR27862880.178501_m1	-1	145	6	1.00000000	0
95	SRR27862880.178501_m1	-1	SRR27862880.187001_m1	+1	139	12	1.00000000	0
96	SRR27862880.187001_m1	+1	SRR27862880.230001_m1	+1	141	10	1.00000000	0
97	SRR27862880.230001_m1	+1	SRR27862880.9001_m1	+1	116	35	1.00000000	0
98	SRR27862880.9001_m1	+1	SRR27862880.60501_m1	-1	147	3	0.99319728	0
99	SRR27862880.60501_m1	-1	SRR27862880.30501_m1	-1	144	7	0.99305556	0
100	SRR27862880.30501_m1	-1	SRR27862880.207501_m2	+1	143	8	1.00000000	0
101	SRR27862880.207501_m2	+1	SRR27862880.185501_m2	-1	146	4	1.00000000	0
102	SRR27862880.185501_m2	-1	SRR27862880.192001_m2	-1	144	7	1.00000000	0
103	SRR27862880.192001_m2	-1	SRR27862880.181501_m1	-1	143	7	1.00000000	0
104	SRR27862880.181501_m1	-1	SRR27862880.159501_m1	+1	125	24	1.00000000	0
105	SRR27862880.159501_m1	+1	SRR27862880.145001_m2	-1	140	10	1.00000000	0
106	SRR27862880.145001_m2	-1	SRR27862880.179001_m2	-1	143	8	1.00000000	0
107	SRR27862880.179001_m2	-1	SRR27862880.211001_m1	-1	140	10	1.00000000	0
108	SRR27862880.211001_m1	-1	SRR27862880.67001_m1	+1	110	41	1.00000000	0
109	SRR27862880.67001_m1	+1	SRR27862880.130501_m2	-1	144	6	0.99305556	0
110	SRR27862880.130501_m2	-1	SRR27862880.249001_m1	+1	138	12	0.99275362	0
111	SRR27862880.249001_m1	+1	SRR27862880.81001_m1	-1	149	2	1.00000000	0
112	SRR27862880.81001_m1	-1	SRR27862880.141001_m2	-1	150	1	1.00000000	0
113	SRR27862880.141001_m2	-1	SRR27862880.121001_m1	+1	147	4	1.00000000	0
114	SRR27862880.121001_m1	+1	SRR27862880.237501_m1	-1	143	7	1.00000000	0
115	SRR27862880.237501_m1	-1	SRR27862880.138501_m1	-1	139	12	1.00000000	0
116	SRR27862880.138501_m1	-1	SRR27862880.177501_m1	-1	143	8	1.00000000	0
117	SRR27862880.177501_m1	-1	SRR27862880.187001_m2	-1	137	14	1.00000000	0
118	SRR27862880.187001_m2	-1	SRR27862880.69501_m2	-1	117	33	1.00000000	0
119	SRR27862880.69501_m2	-1	SRR27862880.182501_m2	+1	149	2	1.00000000	0
120	SRR27862880.182501_m2	+1	SRR27862880.151001_m2	+1	142	8	1.00000000	0
121	SRR27862880.151001_m2	+1	SRR27862880.107001_m1	+1	142	9	1.00000000	0
122	SRR27862880.107001_m1	+1	SRR27862880.9001_m2	-1	138	13	1.00000000	0
123	SRR27862880.9001_m2	-1	SRR27862880.122501_m2	+1	139	10	1.00000000	0
124	SRR27862880.122501_m2	+1	SRR27862880.150001_m1	-1	147	3	1.00000000	0
125	SRR27862880.150001_m1	-1	SRR27862880.122001_m1	+1	140	11	1.00000000	0
126	SRR27862880.122001_m1	+1	SRR27862880.183001_m1	+1	143	8	1.00000000	0
127	SRR27862880.183001_m1	+1	SRR27862880.40501_m2	-1	137	12	0.99270073	0
128	SRR27862880.40501_m2	-1	SRR27862880.122501_m1	-1	110	40	0.99090909	0
129	SRR27862880.122501_m1	-1	SRR27862880.194001_m1	+1	143	7	1.00000000	0
130	SRR27862880.194001_m1	+1	SRR27862880.184501_m1	+1	147	3	1.00000000	0
131	SRR27862880.184501_m1	+1	SRR27862880.233501_m2	+1	125	26	1.00000000	0
132	SRR27862880.233501_m2	+1	SRR27862880.35001_m2	-1	142	9	1.00000000	0
133	SRR27862880.35001_m2	-1	SRR27862880.130001_m2	-1	137	10	1.00000000	0
134	SRR27862880.130001_m2	-1	SRR27862880.81501_m1	-1	139	11	1.00000000	0
135	SRR27862880.81501_m1	-1	SRR27862880.6001_m2	+1	138	13	1.00000000	0
136	SRR27862880.6001_m2	+1	SRR27862880.183001_m2	-1	135	16	1.00000000	0
137	SRR27862880.183001_m2	-1	SRR27862880.182501_m1	-1	136	15	1.00000000	0
138	SRR27862880.182501_m1	-1	SRR27862880.131001_m2	-1	84	66	1.00000000	0
139	SRR27862880.131001_m2	-1	SRR27862880.118001_m1	+1	130	21	1.00000000	0
140	SRR27862880.118001_m1	+1	SRR27862880.126001_m2	-1	142	9	1.00000000	0
141	SRR27862880.126001_m2	-1	SRR27862880.221501_m2	-1	81	69	1.00000000	0
142	SRR27862880.221501_m2	-1	SRR27862880.233501_m1	-1	147	3	1.00000000	0
143	SRR27862880.233501_m1	-1	SRR27862880.87001_m2	+1	143	8	1.00000000	0
144	SRR27862880.87001_m2	+1	SRR27862880.19501_m2	-1	131	19	1.00000000	0
145	SRR27862880.19501_m2	-1	SRR27862880.55501_m1	-1	125	25	1.00000000	0
146	SRR27862880.55501_m1	-1	SRR27862880.6001_m1	-1	149	2	1.00000000	0
147	SRR27862880.6001_m1	-1	SRR27862880.62501_m2	-1	133	18	1.00000000	0
148	SRR27862880.62501_m2	-1	SRR27862880.74501_m1	-1	125	24	1.00000000	0
149	SRR27862880.74501_m1	-1	SRR27862880.162001_m2	+1	142	8	1.00000000	0
150	SRR27862880.162001_m2	+1	SRR27862880.118001_m2	-1	143	8	1.00000000	0
151	SRR27862880.118001_m2	-1	SRR27862880.87501_m1	-1	144	6	1.00000000	0
152	SRR27862880.87501_m1	-1	SRR27862880.97001_m2	+1	137	13	1.00000000	0
153	SRR27862880.97001_m2	+1	SRR27862880.225501_m2	-1	140	11	1.00000000	0
154	SRR27862880.225501_m2	-1	SRR27862880.1501_m2	+1	140	9	1.00000000	0
155	SRR27862880.1501_m2	+1	SRR27862880.11001_m1	-1	129	19	1.00000000	0
156	SRR27862880.11001_m1	-1	SRR27862880.38501_m2	+1	145	6	1.00000000	0
157	SRR27862880.38501_m2	+1	SRR27862880.119001_m1	-1	146	5	1.00000000	0
158	SRR27862880.119001_m1	-1	SRR27862880.169001_m1	-1	119	32	1.00000000	0
159	SRR27862880.169001_m1	-1	SRR27862880.97001_m1	-1	145	6	1.00000000	0
160	SRR27862880.97001_m1	-1	SRR27862880.175501_m2	+1	129	22	1.00000000	0
161	SRR27862880.175501_m2	+1	SRR27862880.158501_m2	+1	144	7	1.00000000	0
162	SRR27862880.158501_m2	+1	SRR27862880.176501_m2	+1	145	6	1.00000000	0
163	SRR27862880.176501_m2	+1	SRR27862880.43501_m2	+1	132	18	1.00000000	0
164	SRR27862880.43501_m2	+1	SRR27862880.65501_m2	-1	132	19	1.00000000	0
165	SRR27862880.65501_m2	-1	SRR27862880.133001_m1	+1	89	61	1.00000000	0
166	SRR27862880.133001_m1	+1	SRR27862880.45501_m1	-1	142	8	0.99295775	0
167	SRR27862880.45501_m1	-1	SRR27862880.34501_m2	-1	143	7	1.00000000	0
168	SRR27862880.34501_m2	-1	SRR27862880.200001_m1	+1	139	11	1.00000000	0
169	SRR27862880.200001_m1	+1	SRR27862880.213501_m2	+1	137	13	1.00000000	0
170	SRR27862880.213501_m2	+1	SRR27862880.59501_m1	+1	129	21	1.00000000	0
171	SRR27862880.59501_m1	+1	SRR27862880.21501_m1	+1	145	5	1.00000000	0
172	SRR27862880.21501_m1	+1	SRR27862880.114501_m1	+1	143	8	1.00000000	0
173	SRR27862880.114501_m1	+1	SRR27862880.218001_m2	+1	141	10	1.00000000	0
174	SRR27862880.218001_m2	+1	SRR27862880.15501_m1	-1	145	3	1.00000000	0
175	SRR27862880.15501_m1	-1	SRR27862880.239001_m1	-1	148	3	1.00000000	0
176	SRR27862880.239001_m1	-1	SRR27862880.108001_m1	-1	148	3	1.00000000	0
177	SRR27862880.108001_m1	-1	SRR27862880.78001_m2	-1	142	9	1.00000000	0
178	SRR27862880.78001_m2	-1	SRR27862880.189001_m2	-1	145	6	1.00000000	0
179	SRR27862880.189001_m2	-1	SRR27862880.216001_m1	+1	143	7	1.00000000	0
180	SRR27862880.216001_m1	+1	SRR27862880.158501_m1	-1	135	15	1.00000000	0
181	SRR27862880.158501_m1	-1	SRR27862880.242001_m2	+1	149	2	1.00000000	0
182	SRR27862880.242001_m2	+1	SRR27862880.43501_m1	-1	132	19	1.00000000	0
183	SRR27862880.43501_m1	-1	SRR27862880.56001_m1	-1	142	9	1.00000000	0
184	SRR27862880.56001_m1	-1	SRR27862880.198001_m2	-1	146	5	1.00000000	0
185	SRR27862880.198001_m2	-1	SRR27862880.24001_m2	-1	141	9	1.00000000	0
186	SRR27862880.24001_m2	-1	SRR27862880.73001_m1	+1	137	12	1.00000000	0
187	SRR27862880.73001_m1	+1	SRR27862880.237001_m2	+1	141	10	1.00000000	0
188	SRR27862880.237001_m2	+1	SRR27862880.137501_m2	+1	139	12	1.00000000	0
189	SRR27862880.137501_m2	+1	SRR27862880.123001_m1	+1	135	15	1.00000000	0
190	SRR27862880.123001_m1	+1	SRR27862880.22501_m2	-1	136	15	1.00000000	0
191	SRR27862880.22501_m2	-1	SRR27862880.133001_m2	-1	144	7	1.00000000	0
192	SRR27862880.133001_m2	-1	SRR27862880.59501_m2	-1	132	19	1.00000000	0
193	SRR27862880.59501_m2	-1	SRR27862880.21501_m2	-1	145	6	1.00000000	0
194	SRR27862880.21501_m2	-1	SRR27862880.127501_m2	-1	142	9	1.00000000	0
195	SRR27862880.127501_m2	-1	SRR27862880.190001_m2	+1	142	9	1.00000000	0
196	SRR27862880.190001_m2	+1	SRR27862880.165001_m2	-1	135	15	1.00000000	0
197	SRR27862880.165001_m2	-1	SRR27862880.63001_m1	+1	121	30	1.00000000	0
198	SRR27862880.63001_m1	+1	SRR27862880.44501_m1	+1	147	4	1.00000000	0
199	SRR27862880.44501_m1	+1	SRR27862880.226501_m2	+1	134	17	1.00000000	0
200	SRR27862880.226501_m2	+1	SRR27862880.17501_m2	+1	126	24	1.00000000	0
201	SRR27862880.17501_m2	+1	SRR27862880.77001_m1	-1	140	11	1.00000000	0
202	SRR27862880.77001_m1	-1	SRR27862880.41001_m2	-1	148	3	1.00000000	0
203	SRR27862880.41001_m2	-1	SRR27862880.137501_m1	-1	138	13	1.00000000	0
204	SRR27862880.137501_m1	-1	SRR27862880.73001_m2	-1	144	7	1.00000000	0
205	SRR27862880.73001_m2	-1	SRR27862880.234001_m2	-1	143	7	1.00000000	0
206	SRR27862880.234001_m2	-1	SRR27862880.237001_m1	-1	146	4	1.00000000	0
207	SRR27862880.237001_m1	-1	SRR27862880.239501_m2	+1	114	37	1.00000000	0
208	SRR27862880.239501_m2	+1	SRR27862880.144001_m2	+1	145	6	1.00000000	0
209	SRR27862880.144001_m2	+1	SRR27862880.232001_m1	+1	141	10	1.00000000	0
210	SRR27862880.232001_m1	+1	SRR27862880.199501_m2	+1	141	10	1.00000000	0
211	SRR27862880.199501_m2	+1	SRR27862880.80001_m2	+1	145	5	1.00000000	0
212	SRR27862880.80001_m2	+1	SRR27862880.203501_m1	-1	142	9	1.00000000	0
213	SRR27862880.203501_m1	-1	SRR27862880.100501_m1	+1	125	26	1.00000000	0
214	SRR27862880.100501_m1	+1	SRR27862880.119501_m1	+1	145	6	1.00000000	0
215	SRR27862880.119501_m1	+1	SRR27862880.243501_m1	-1	133	18	1.00000000	0
216	SRR27862880.243501_m1	-1	SRR27862880.17501_m1	-1	82	66	1.00000000	0
217	SRR27862880.17501_m1	-1	SRR27862880.16501_m1	-1	129	22	1.00000000	0
218	SRR27862880.16501_m1	-1	SRR27862880.227001_m2	+1	134	16	1.00000000	0
219	SRR27862880.227001_m2	+1	SRR27862880.169501_m1	-1	144	7	1.00000000	0
220	SRR27862880.169501_m1	-1	SRR27862880.64501_m1	+1	84	67	1.00000000	0
221	SRR27862880.64501_m1	+1	SRR27862880.68001_m2	+1	139	10	1.00000000	0
222	SRR27862880.68001_m2	+1	SRR27862880.79001_m2	-1	138	13	1.00000000	0
223	SRR27862880.79001_m2	-1	SRR27862880.246501_m1	+1	120	29	1.00000000	0
224	SRR27862880.246501_m1	+1	SRR27862880.47501_m2	+1	90	56	1.00000000	0
225	SRR27862880.47501_m2	+1	SRR27862880.58001_m1	-1	147	4	1.00000000	0
226	SRR27862880.58001_m1	-1	SRR27862880.17001_m1	+1	135	15	1.00000000	0
227	SRR27862880.17001_m1	+1	SRR27862880.141501_m1	+1	148	3	1.00000000	0
228	SRR27862880.141501_m1	+1	SRR27862880.36001_m2	+1	138	13	1.00000000	0
229	SRR27862880.36001_m2	+1	SRR27862880.13501_m2	+1	141	9	0.99290780	0
230	SRR27862880.13501_m2	+1	SRR27862880.227001_m1	-1	144	7	0.99305556	0
231	SRR27862880.227001_m1	-1	SRR27862880.196501_m2	+1	148	3	1.00000000	0
232	SRR27862880.196501_m2	+1	SRR27862880.188501_m1	-1	143	7	1.00000000	0
233	SRR27862880.188501_m1	-1	SRR27862880.2501_m2	-1	140	11	1.00000000	0
234	SRR27862880.2501_m2	-1	SRR27862880.85501_m1	-1	141	10	1.00000000	0
235	SRR27862880.85501_m1	-1	SRR27862880.68001_m1	-1	130	21	1.00000000	0
236	SRR27862880.68001_m1	-1	SRR27862880.124501_m1	-1	132	19	1.00000000	0
237	SRR27862880.124501_m1	-1	SRR27862880.225001_m1	-1	139	12	1.00000000	0
238	SRR27862880.225001_m1	-1	SRR27862880.66001_m1	+1	134	17	1.00000000	0
239	SRR27862880.66001_m1	+1	SRR27862880.28501_m1	+1	138	13	1.00000000	0
240	SRR27862880.28501_m1	+1	SRR27862880.246501_m2	-1	140	11	1.00000000	0
241	SRR27862880.246501_m2	-1	SRR27862880.129501_m2	-1	141	10	1.00000000	0
242	SRR27862880.129501_m2	-1	SRR27862880.116001_m1	+1	146	4	1.00000000	0
243	SRR27862880.116001_m1	+1	SRR27862880.49001_m1	-1	147	4	1.00000000	0
244	SRR27862880.49001_m1	-1	SRR27862880.141501_m2	-1	124	27	1.00000000	0
245	SRR27862880.141501_m2	-1	SRR27862880.201001_m2	-1	141	9	1.00000000	0
246	SRR27862880.201001_m2	-1	SRR27862880.154501_m1	-1	146	5	1.00000000	0
247	SRR27862880.154501_m1	-1	SRR27862880.97501_m2	-1	138	12	1.00000000	0
248	SRR27862880.97501_m2	-1	SRR27862880.195001_m1	+1	143	8	1.00000000	0
249	SRR27862880.195001_m1	+1	SRR27862880.13501_m1	-1	145	5	1.00000000	0
250	SRR27862880.13501_m1	-1	SRR27862880.140001_m2	-1	143	8	0.99300699	0
251	SRR27862880.140001_m2	-1	SRR27862880.178001_m1	-1	146	4	0.99315068	0
252	SRR27862880.178001_m1	-1	SRR27862880.191501_m1	+1	136	15	1.00000000	0
253	SRR27862880.191501_m1	+1	SRR27862880.216501_m1	-1	134	16	1.00000000	0
254	SRR27862880.216501_m1	-1	SRR27862880.48001_m2	-1	122	29	1.00000000	0
255	SRR27862880.48001_m2	-1	SRR27862880.6501_m2	-1	136	14	1.00000000	0
256	SRR27862880.6501_m2	-1	SRR27862880.154001_m2	+1	120	30	1.00000000	0
257	SRR27862880.154001_m2	+1	SRR27862880.151501_m1	-1	140	9	1.00000000	0
258	SRR27862880.151501_m1	-1	SRR27862880.191001_m1	+1	132	18	1.00000000	0
259	SRR27862880.191001_m1	+1	SRR27862880.170001_m1	+1	125	26	1.00000000	0
260	SRR27862880.170001_m1	+1	SRR27862880.86001_m2	-1	141	10	1.00000000	0
261	SRR27862880.86001_m2	-1	SRR27862880.59001_m1	-1	147	4	1.00000000	0
262	SRR27862880.59001_m1	-1	SRR27862880.21001_m2	-1	133	18	0.99248120	0
263	SRR27862880.21001_m2	-1	SRR27862880.90001_m1	+1	141	8	0.99290780	0
264	SRR27862880.90001_m1	+1	SRR27862880.198501_m1	-1	145	6	1.00000000	0
265	SRR27862880.198501_m1	-1	SRR27862880.136001_m2	+1	136	15	1.00000000	0
266	SRR27862880.136001_m2	+1	SRR27862880.29001_m1	+1	131	20	1.00000000	0
267	SRR27862880.29001_m1	+1	SRR27862880.18001_m1	-1	141	8	1.00000000	0
268	SRR27862880.18001_m1	-1	SRR27862880.107501_m1	-1	122	29	1.00000000	0
269	SRR27862880.107501_m1	-1	SRR27862880.245501_m1	+1	132	18	1.00000000	0
270	SRR27862880.245501_m1	+1	SRR27862880.23501_m2	+1	130	21	1.00000000	0
271	SRR27862880.23501_m2	+1	SRR27862880.224501_m2	-1	91	60	1.00000000	0
272	SRR27862880.224501_m2	-1	SRR27862880.92501_m2	+1	126	24	1.00000000	0
273	SRR27862880.92501_m2	+1	SRR27862880.123501_m2	+1	138	11	1.00000000	0
274	SRR27862880.123501_m2	+1	SRR27862880.236001_m2	-1	143	7	1.00000000	0
275	SRR27862880.236001_m2	-1	SRR27862880.136001_m1	-1	144	6	1.00000000	0
276	SRR27862880.136001_m1	-1	SRR27862880.247001_m1	-1	143	7	1.00000000	0
277	SRR27862880.247001_m1	-1	SRR27862880.79501_m1	+1	147	4	1.00000000	0
278	SRR27862880.79501_m1	+1	SRR27862880.118501_m2	+1	145	5	1.00000000	0
279	SRR27862880.118501_m2	+1	SRR27862880.54501_m1	-1	128	22	1.00000000	0
280	SRR27862880.54501_m1	-1	SRR27862880.83001_m2	+1	115	36	1.00000000	0
281	SRR27862880.83001_m2	+1	SRR27862880.86501_m2	+1	138	12	1.00000000	0
282	SRR27862880.86501_m2	+1	SRR27862880.69001_m2	-1	140	7	1.00000000	0
283	SRR27862880.69001_m2	-1	SRR27862880.33501_m1	+1	147	4	1.00000000	0
284	SRR27862880.33501_m1	+1	SRR27862880.15001_m2	+1	146	5	1.00000000	0
285	SRR27862880.15001_m2	+1	SRR27862880.245501_m2	-1	137	13	1.00000000	0
286	SRR27862880.245501_m2	-1	SRR27862880.74001_m1	-1	136	14	1.00000000	0
287	SRR27862880.74001_m1	-1	SRR27862880.193001_m2	+1	127	24	1.00000000	0
288	SRR27862880.193001_m2	+1	SRR27862880.206001_m2	+1	103	48	1.00000000	0
289	SRR27862880.206001_m2	+1	SRR27862880.207001_m1	-1	145	6	1.00000000	0
290	SRR27862880.207001_m1	-1	SRR27862880.56501_m2	+1	139	12	1.00000000	0
291	SRR27862880.56501_m2	+1	SRR27862880.92501_m1	-1	144	7	1.00000000	0
292	SRR27862880.92501_m1	-1	SRR27862880.172501_m1	+1	136	15	1.00000000	0
293	SRR27862880.172501_m1	+1	SRR27862880.30001_m1	-1	141	10	1.00000000	0
294	SRR27862880.30001_m1	-1	SRR27862880.83001_m1	-1	141	10	1.00000000	0
295	SRR27862880.83001_m1	-1	SRR27862880.186001_m1	-1	141	10	1.00000000	0
296	SRR27862880.186001_m1	-1	SRR27862880.161001_m2	+1	122	28	1.00000000	0
297	SRR27862880.161001_m2	+1	SRR27862880.33501_m2	-1	144	5	1.00000000	0
298	SRR27862880.33501_m2	-1	SRR27862880.135001_m1	-1	143	7	1.00000000	0
299	SRR27862880.135001_m1	-1	SRR27862880.105501_m1	-1	137	13	0.99270073	0
300	SRR27862880.105501_m1	-1	SRR27862880.193001_m1	-1	120	31	0.99166667	0
301	SRR27862880.193001_m1	-1	SRR27862880.4001_m2	+1	127	24	1.00000000	0
