read_id	read_length	support_status	selected_orientation	reference_orientation	reference_start	reference_end	alignment_length	identity	mapq	incoming_support_count	outgoing_support_count	incoming_ids	outgoing_ids	raw_physical_incoming_count	raw_physical_outgoing_count	pre_full_filter_incoming_count	pre_full_filter_outgoing_count
SRR27862880.27001_m1	151	no_out_support	+1	+1	888	992	104	1.00000000	0	4	0	SRR27862880.114501_m2-|SRR27862880.165001_m2-|SRR27862880.190001_m2+|SRR27862880.7001_m2+		4	4	4	0
SRR27862880.3001_m2	150	no_in_support	-1	-1	155	305	150	0.98666667	0	0	7		SRR27862880.138001_m1-|SRR27862880.169001_m2+|SRR27862880.19501_m2-|SRR27862880.221501_m2-|SRR27862880.233501_m1-|SRR27862880.85001_m1-|SRR27862880.87001_m2+	7	7	0	8
SRR27862880.38001_m1	151	no_out_support	+1	+1	1964	2115	151	0.98675497	0	5	0	SRR27862880.107501_m1-|SRR27862880.245501_m1+|SRR27862880.69001_m1+|SRR27862880.94001_m2+|SRR27862880.96001_m1+		5	5	5	0
SRR27862880.40001_m1	151	no_in_support	+1							0	1		SRR27862880.40001_m2+	1	1	0	1
SRR27862880.40001_m2	150	no_out_support	+1							1	0	SRR27862880.40001_m1+		1	1	1	0
SRR27862880.46501_m1	150	no_in_support	-1	-1	4661	4811	150	0.98666667	0	0	10		SRR27862880.111501_m1+|SRR27862880.140501_m2+|SRR27862880.159001_m2-|SRR27862880.178501_m2+|SRR27862880.183501_m1-|SRR27862880.189501_m1+|SRR27862880.223501_m1-|SRR27862880.248001_m2-|SRR27862880.78501_m2+|SRR27862880.88501_m1+	10	10	0	11
SRR27862880.46501_m2	150	no_out_support	+1	+1	4400	4550	150	0.97333333	0	3	0	SRR27862880.125001_m2-|SRR27862880.67501_m2-|SRR27862880.93501_m2+		3	3	4	0
SRR27862880.55001_m1	151	no_in_or_out_support	+1							0	0			0	0	0	0
SRR27862880.55001_m2	151	no_in_or_out_support	+1							0	0			0	0	0	0
SRR27862880.62001_m1	151	no_in_or_out_support	+1							0	0			0	0	0	0
SRR27862880.62001_m2	151	no_in_support	-1	-1	4392	4543	151	0.98013245	0	0	5		SRR27862880.160501_m2-|SRR27862880.168501_m1-|SRR27862880.183501_m2+|SRR27862880.205501_m2-|SRR27862880.70001_m1-	5	5	0	5
SRR27862880.63501_m2	150	no_out_support	+1	+1	3644	3794	150	0.98666667	0	3	0	SRR27862880.137001_m2-|SRR27862880.208001_m1+|SRR27862880.226001_m2-		3	3	4	0
SRR27862880.66501_m1	151	no_in_or_out_support	+1	-1	1234	1385	151	0.97350993	0	0	0			0	0	0	0
SRR27862880.66501_m2	148	no_in_support	+1	+1	1021	1169	148	0.97972973	0	0	4		SRR27862880.100501_m1+|SRR27862880.119501_m1+|SRR27862880.39501_m1-|SRR27862880.7001_m1-	4	4	0	4
