left_id	left_orientation	right_id	right_orientation	rough_overlap	rough_shift	paf_identity	refined_overlap	refined_identity	refined_error_rate	rejection_reason
SRR27862880.168501_m1	+1	SRR27862880.62001_m2	+1	88	61	1.00000000	90	0.98888889	0.01111111	error_above_0.010
SRR27862880.62001_m2	-1	SRR27862880.168501_m1	-1	88	63	1.00000000	90	0.98888889	0.01111111	error_above_0.010
SRR27862880.43501_m2	+1	SRR27862880.213001_m1	+1	86	58	1.00000000	93	0.92473118	0.07526882	error_above_0.010
SRR27862880.213001_m1	-1	SRR27862880.43501_m2	-1	86	64	1.00000000	93	0.94623656	0.05376344	error_above_0.010
SRR27862880.56001_m2	+1	SRR27862880.213001_m1	+1	86	60	1.00000000	91	0.96703297	0.03296703	error_above_0.010
SRR27862880.213001_m1	-1	SRR27862880.56001_m2	-1	86	64	1.00000000	91	0.96703297	0.03296703	error_above_0.010
SRR27862880.87001_m1	-1	SRR27862880.213001_m1	+1	86	54	1.00000000	96	0.91666667	0.08333333	error_above_0.010
SRR27862880.213001_m1	-1	SRR27862880.87001_m1	+1	86	64	1.00000000	96	0.91666667	0.08333333	error_above_0.010
SRR27862880.218001_m1	+1	SRR27862880.213501_m1	+1	128	22	0.99218750	129	0.98449612	0.01550388	error_above_0.010
SRR27862880.213501_m1	-1	SRR27862880.218001_m1	-1	128	23	0.99218750	129	0.98449612	0.01550388	error_above_0.010
SRR27862880.169501_m2	-1	SRR27862880.10001_m2	+1	116	32	0.99137931	119	0.98319328	0.01680672	error_above_0.010
SRR27862880.10001_m2	-1	SRR27862880.169501_m2	+1	116	31	0.99137931	119	0.98319328	0.01680672	error_above_0.010
SRR27862880.14001_m2	+1	SRR27862880.56001_m1	+1	140	3	1.00000000	147	0.97278912	0.02721088	error_above_0.010
SRR27862880.56001_m1	-1	SRR27862880.14001_m2	-1	140	4	1.00000000	147	0.97278912	0.02721088	error_above_0.010
SRR27862880.198001_m2	+1	SRR27862880.14001_m2	+1	139	1	1.00000000	149	0.95973154	0.04026846	error_above_0.010
SRR27862880.14001_m2	-1	SRR27862880.198001_m2	-1	139	1	1.00000000	149	0.95973154	0.04026846	error_above_0.010
SRR27862880.77001_m2	-1	SRR27862880.14001_m2	+1	137	2	1.00000000	147	0.95918367	0.04081633	error_above_0.010
SRR27862880.14001_m2	-1	SRR27862880.77001_m2	+1	137	3	1.00000000	147	0.95918367	0.04081633	error_above_0.010
SRR27862880.24001_m2	+1	SRR27862880.14001_m2	+1	130	9	1.00000000	140	0.95714286	0.04285714	error_above_0.010
SRR27862880.14001_m2	-1	SRR27862880.24001_m2	-1	130	10	1.00000000	140	0.95714286	0.04285714	error_above_0.010
SRR27862880.73001_m1	-1	SRR27862880.14001_m2	+1	118	23	1.00000000	128	0.95312500	0.04687500	error_above_0.010
SRR27862880.14001_m2	-1	SRR27862880.73001_m1	+1	118	22	1.00000000	128	0.95312500	0.04687500	error_above_0.010
SRR27862880.237001_m2	-1	SRR27862880.14001_m2	+1	108	33	1.00000000	118	0.94915254	0.05084746	error_above_0.010
SRR27862880.14001_m2	-1	SRR27862880.237001_m2	+1	108	32	1.00000000	118	0.94915254	0.05084746	error_above_0.010
SRR27862880.73501_m2	+1	SRR27862880.14001_m2	+1	90	50	1.00000000	100	0.94000000	0.06000000	error_above_0.010
SRR27862880.14001_m2	-1	SRR27862880.73501_m2	-1	90	50	1.00000000	100	0.94000000	0.06000000	error_above_0.010
SRR27862880.214001_m2	+1	SRR27862880.14001_m2	+1	90	50	1.00000000	100	0.94000000	0.06000000	error_above_0.010
SRR27862880.14001_m2	-1	SRR27862880.214001_m2	-1	90	50	1.00000000	100	0.94000000	0.06000000	error_above_0.010
SRR27862880.16001_m2	+1	SRR27862880.174501_m2	+1	100	47	0.99000000	104	0.97115385	0.02884615	error_above_0.010
SRR27862880.174501_m2	-1	SRR27862880.16001_m2	-1	100	50	0.99000000	104	0.97115385	0.02884615	error_above_0.010
SRR27862880.67501_m2	-1	SRR27862880.46501_m2	+1	81	66	1.00000000	85	0.97647059	0.02352941	error_above_0.010
SRR27862880.46501_m2	-1	SRR27862880.67501_m2	+1	81	69	1.00000000	85	0.97647059	0.02352941	error_above_0.010
SRR27862880.113001_m2	+1	SRR27862880.14001_m2	+1	115	25	1.00000000	125	0.95200000	0.04800000	error_above_0.010
SRR27862880.14001_m2	-1	SRR27862880.113001_m2	-1	115	25	1.00000000	125	0.95200000	0.04800000	error_above_0.010
SRR27862880.46501_m2	-1	SRR27862880.125001_m2	+1	81	64	1.00000000	86	0.97674419	0.02325581	error_above_0.010
SRR27862880.125001_m2	-1	SRR27862880.46501_m2	+1	81	65	1.00000000	86	0.97674419	0.02325581	error_above_0.010
SRR27862880.134001_m2	+1	SRR27862880.14001_m2	+1	123	18	1.00000000	133	0.95488722	0.04511278	error_above_0.010
SRR27862880.14001_m2	-1	SRR27862880.134001_m2	-1	123	17	1.00000000	133	0.95488722	0.04511278	error_above_0.010
SRR27862880.14001_m2	-1	SRR27862880.137501_m2	+1	96	44	1.00000000	106	0.94339623	0.05660377	error_above_0.010
SRR27862880.137501_m2	-1	SRR27862880.14001_m2	+1	96	54	1.00000000	106	0.94339623	0.05660377	error_above_0.010
SRR27862880.160501_m2	+1	SRR27862880.62001_m2	+1	107	41	0.99065421	109	0.98165138	0.01834862	error_above_0.010
SRR27862880.62001_m2	-1	SRR27862880.160501_m2	-1	107	44	0.99065421	109	0.98165138	0.01834862	error_above_0.010
SRR27862880.234001_m2	-1	SRR27862880.169501_m2	+1	116	32	0.99137931	118	0.98305085	0.01694915	error_above_0.010
SRR27862880.169501_m2	-1	SRR27862880.234001_m2	+1	116	35	0.99137931	118	0.98305085	0.01694915	error_above_0.010
SRR27862880.62001_m2	-1	SRR27862880.183501_m2	+1	88	60	1.00000000	91	0.98901099	0.01098901	error_above_0.010
SRR27862880.183501_m2	-1	SRR27862880.62001_m2	+1	88	59	1.00000000	91	0.98901099	0.01098901	error_above_0.010
SRR27862880.43001_m2	-1	SRR27862880.196001_m2	+1	104	43	0.99038462	107	0.98130841	0.01869159	error_above_0.010
SRR27862880.196001_m2	-1	SRR27862880.43001_m2	+1	104	47	0.99038462	107	0.98130841	0.01869159	error_above_0.010
SRR27862880.36501_m1	+1	SRR27862880.245001_m2	+1	92	57	1.00000000	94	0.98936170	0.01063830	error_above_0.010
SRR27862880.245001_m2	-1	SRR27862880.36501_m1	-1	92	58	1.00000000	94	0.98936170	0.01063830	error_above_0.010
