read_id	orientation	ref_start	ref_end	alignment_length	identity	error_rate	mapq
SRR27862880.212001_m1	-1	504	655	151	0.99337748	0.00662252	0
SRR27862880.39001_m1	+1	504	655	151	0.99337748	0.00662252	0
SRR27862880.49501_m1	+1	504	655	151	0.99337748	0.00662252	0
SRR27862880.14001_m1	+1	510	661	151	0.99337748	0.00662252	0
SRR27862880.213001_m1	+1	512	598	86	0.98837209	0.01162791	0
SRR27862880.24001_m1	+1	513	663	150	0.99333333	0.00666667	0
SRR27862880.162001_m1	-1	518	669	151	0.99337748	0.00662252	0
SRR27862880.46001_m1	-1	518	669	151	0.99337748	0.00662252	0
SRR27862880.73501_m1	+1	519	670	151	0.98675497	0.01324503	0
SRR27862880.126501_m1	+1	526	677	151	0.99337748	0.00662252	0
SRR27862880.214001_m1	+1	526	677	151	0.99337748	0.00662252	0
SRR27862880.133001_m1	+1	534	684	150	0.98666667	0.01333333	0
SRR27862880.168001_m2	-1	534	683	149	0.99328859	0.00671141	0
SRR27862880.45501_m1	-1	542	692	150	0.99333333	0.00666667	0
SRR27862880.127501_m1	+1	548	698	150	0.99333333	0.00666667	0
SRR27862880.217501_m2	-1	549	698	149	0.99328859	0.00671141	0
SRR27862880.34501_m2	-1	549	699	150	0.99333333	0.00666667	0
SRR27862880.200001_m1	+1	560	710	150	0.99333333	0.00666667	0
SRR27862880.98001_m1	-1	572	722	150	0.99333333	0.00666667	0
SRR27862880.213501_m2	+1	573	723	150	0.99333333	0.00666667	0
SRR27862880.201501_m2	-1	574	725	151	0.99337748	0.00662252	0
SRR27862880.59501_m1	+1	594	744	150	1.00000000	0.00000000	0
SRR27862880.38501_m1	-1	596	746	150	1.00000000	0.00000000	0
SRR27862880.21501_m1	+1	599	750	151	1.00000000	0.00000000	0
SRR27862880.1501_m1	-1	600	750	150	1.00000000	0.00000000	0
SRR27862880.42501_m1	-1	605	754	149	1.00000000	0.00000000	0
SRR27862880.114501_m1	+1	607	758	151	1.00000000	0.00000000	0
SRR27862880.165001_m1	+1	608	758	150	1.00000000	0.00000000	0
SRR27862880.218001_m2	+1	617	765	148	1.00000000	0.00000000	0
SRR27862880.15501_m1	-1	620	771	151	1.00000000	0.00000000	0
SRR27862880.175501_m1	-1	623	773	150	1.00000000	0.00000000	0
SRR27862880.239001_m1	-1	623	774	151	1.00000000	0.00000000	0
SRR27862880.108001_m1	-1	626	777	151	1.00000000	0.00000000	0
SRR27862880.22501_m1	+1	626	775	149	1.00000000	0.00000000	0
SRR27862880.78001_m2	-1	635	786	151	1.00000000	0.00000000	0
SRR27862880.189001_m2	-1	641	791	150	1.00000000	0.00000000	0
SRR27862880.216001_m1	+1	648	798	150	1.00000000	0.00000000	0
SRR27862880.158501_m1	-1	663	814	151	1.00000000	0.00000000	0
SRR27862880.242001_m2	+1	665	816	151	1.00000000	0.00000000	0
SRR27862880.127001_m1	+1	674	825	151	1.00000000	0.00000000	0
SRR27862880.176501_m1	-1	676	825	149	1.00000000	0.00000000	0
SRR27862880.41001_m1	+1	676	826	150	1.00000000	0.00000000	0
SRR27862880.49501_m2	-1	680	830	150	1.00000000	0.00000000	0
SRR27862880.70501_m2	+1	680	828	148	1.00000000	0.00000000	0
SRR27862880.202501_m2	-1	682	832	150	1.00000000	0.00000000	0
SRR27862880.43501_m1	-1	684	832	148	1.00000000	0.00000000	0
SRR27862880.53001_m1	+1	689	838	149	0.99328859	0.00671141	0
SRR27862880.56001_m1	-1	693	844	151	0.99337748	0.00662252	0
SRR27862880.14001_m2	-1	697	837	140	0.99285714	0.00714286	0
SRR27862880.198001_m2	-1	698	848	150	0.99333333	0.00666667	0
SRR27862880.77001_m2	+1	700	849	149	0.99328859	0.00671141	0
SRR27862880.24001_m2	-1	707	856	149	0.99328859	0.00671141	0
SRR27862880.134001_m2	-1	714	865	151	0.99337748	0.00662252	0
SRR27862880.73001_m1	+1	719	870	151	0.99337748	0.00662252	0
SRR27862880.113001_m2	-1	722	872	150	0.99333333	0.00666667	0
SRR27862880.237001_m2	+1	729	880	151	0.99337748	0.00662252	0
SRR27862880.10001_m1	+1	736	887	151	0.99337748	0.00662252	0
SRR27862880.137501_m2	+1	741	891	150	0.99333333	0.00666667	0
SRR27862880.214001_m2	-1	747	897	150	0.99333333	0.00666667	0
SRR27862880.73501_m2	-1	747	897	150	0.99333333	0.00666667	0
SRR27862880.123001_m1	+1	756	907	151	0.99337748	0.00662252	0
SRR27862880.244501_m1	+1	756	907	151	0.98675497	0.01324503	0
SRR27862880.234001_m1	+1	764	915	151	0.99337748	0.00662252	0
SRR27862880.22501_m2	-1	771	922	151	0.99337748	0.00662252	0
SRR27862880.200001_m2	-1	773	923	150	0.99333333	0.00666667	0
SRR27862880.39001_m2	-1	773	924	151	0.99337748	0.00662252	0
SRR27862880.133001_m2	-1	778	929	151	0.99337748	0.00662252	0
SRR27862880.213501_m1	-1	778	929	151	0.98013245	0.01986755	0
SRR27862880.126501_m2	-1	788	938	150	0.99333333	0.00666667	0
SRR27862880.59501_m2	-1	797	948	151	0.99337748	0.00662252	0
SRR27862880.218001_m1	-1	800	951	151	0.99337748	0.00662252	0
SRR27862880.21501_m2	-1	803	954	151	0.99337748	0.00662252	0
SRR27862880.203501_m2	+1	810	961	151	0.99337748	0.00662252	0
SRR27862880.127501_m2	-1	812	963	151	0.99337748	0.00662252	0
SRR27862880.114501_m2	-1	819	969	150	0.99333333	0.00666667	0
SRR27862880.190001_m2	+1	821	971	150	0.99333333	0.00666667	0
SRR27862880.7001_m2	+1	829	980	151	0.99337748	0.00662252	0
SRR27862880.165001_m2	-1	836	987	151	1.00000000	0.00000000	0
SRR27862880.243501_m2	+1	863	1013	150	1.00000000	0.00000000	0
SRR27862880.216001_m2	-1	866	1016	150	1.00000000	0.00000000	0
SRR27862880.63001_m1	+1	866	1017	151	1.00000000	0.00000000	0
SRR27862880.39501_m2	+1	867	1018	151	1.00000000	0.00000000	0
SRR27862880.44501_m1	+1	870	1021	151	1.00000000	0.00000000	0
SRR27862880.242001_m1	-1	871	1019	148	1.00000000	0.00000000	0
SRR27862880.58501_m2	+1	883	1034	151	1.00000000	0.00000000	0
SRR27862880.226501_m2	+1	887	1037	150	1.00000000	0.00000000	0
SRR27862880.27001_m1	+1	888	992	104	1.00000000	0.00000000	0
SRR27862880.70501_m1	-1	894	1045	151	1.00000000	0.00000000	0
SRR27862880.127001_m2	-1	910	1060	150	1.00000000	0.00000000	0
SRR27862880.17501_m2	+1	911	1062	151	1.00000000	0.00000000	0
SRR27862880.228001_m1	-1	912	1054	142	1.00000000	0.00000000	0
SRR27862880.228001_m2	+1	912	1054	142	1.00000000	0.00000000	0
SRR27862880.160001_m1	+1	916	1067	151	1.00000000	0.00000000	0
SRR27862880.77001_m1	-1	922	1073	151	1.00000000	0.00000000	0
SRR27862880.53001_m2	-1	923	1074	151	1.00000000	0.00000000	0
SRR27862880.41001_m2	-1	925	1076	151	1.00000000	0.00000000	0
SRR27862880.133501_m2	+1	926	1076	150	1.00000000	0.00000000	0
SRR27862880.147501_m1	+1	931	1082	151	1.00000000	0.00000000	0
SRR27862880.137501_m1	-1	938	1089	151	1.00000000	0.00000000	0
SRR27862880.16501_m2	+1	943	1094	151	1.00000000	0.00000000	0
SRR27862880.73001_m2	-1	945	1095	150	1.00000000	0.00000000	0
SRR27862880.244501_m2	-1	949	1100	151	1.00000000	0.00000000	0
SRR27862880.234001_m2	-1	952	1102	150	1.00000000	0.00000000	0
SRR27862880.10001_m2	-1	953	1103	150	1.00000000	0.00000000	0
SRR27862880.123001_m2	-1	953	1104	151	1.00000000	0.00000000	0
SRR27862880.237001_m1	-1	956	1107	151	1.00000000	0.00000000	0
SRR27862880.169501_m2	+1	984	1135	151	0.98675497	0.01324503	0
SRR27862880.94501_m1	+1	987	1138	151	1.00000000	0.00000000	0
SRR27862880.239501_m2	+1	993	1144	151	1.00000000	0.00000000	0
SRR27862880.92001_m2	+1	997	1148	151	1.00000000	0.00000000	0
SRR27862880.144001_m2	+1	999	1150	151	1.00000000	0.00000000	0
SRR27862880.79001_m1	+1	1001	1152	151	1.00000000	0.00000000	0
SRR27862880.232001_m1	+1	1009	1160	151	1.00000000	0.00000000	0
SRR27862880.14501_m2	+1	1014	1164	150	1.00000000	0.00000000	0
SRR27862880.199501_m2	+1	1019	1169	150	1.00000000	0.00000000	0
SRR27862880.36501_m1	+1	1021	1172	151	1.00000000	0.00000000	0
SRR27862880.66501_m2	+1	1021	1169	148	0.97972973	0.02027027	0
SRR27862880.80001_m2	+1	1024	1175	151	1.00000000	0.00000000	0
SRR27862880.190001_m1	-1	1027	1178	151	1.00000000	0.00000000	0
SRR27862880.203501_m1	-1	1033	1184	151	1.00000000	0.00000000	0
SRR27862880.28001_m2	+1	1057	1208	151	1.00000000	0.00000000	0
SRR27862880.100501_m1	+1	1059	1210	151	1.00000000	0.00000000	0
SRR27862880.39501_m1	-1	1063	1213	150	1.00000000	0.00000000	0
SRR27862880.119501_m1	+1	1065	1216	151	1.00000000	0.00000000	0
SRR27862880.7001_m1	-1	1066	1217	151	1.00000000	0.00000000	0
SRR27862880.245001_m2	+1	1078	1228	150	0.98666667	0.01333333	0
SRR27862880.243501_m1	-1	1083	1231	148	1.00000000	0.00000000	0
SRR27862880.44501_m2	-1	1095	1246	151	1.00000000	0.00000000	0
SRR27862880.177001_m2	+1	1102	1251	149	1.00000000	0.00000000	0
SRR27862880.95001_m2	+1	1104	1255	151	1.00000000	0.00000000	0
SRR27862880.58501_m1	-1	1108	1258	150	1.00000000	0.00000000	0
SRR27862880.63001_m2	-1	1108	1259	151	1.00000000	0.00000000	0
SRR27862880.167001_m1	+1	1111	1262	151	1.00000000	0.00000000	0
SRR27862880.226501_m1	-1	1114	1264	150	1.00000000	0.00000000	0
SRR27862880.58001_m2	+1	1135	1286	151	1.00000000	0.00000000	0
SRR27862880.147501_m2	-1	1137	1287	150	1.00000000	0.00000000	0
SRR27862880.184001_m1	+1	1138	1288	150	1.00000000	0.00000000	0
SRR27862880.160001_m2	-1	1144	1295	151	1.00000000	0.00000000	0
SRR27862880.17501_m1	-1	1149	1300	151	1.00000000	0.00000000	0
SRR27862880.133501_m1	-1	1155	1304	149	1.00000000	0.00000000	0
SRR27862880.16501_m1	-1	1171	1321	150	1.00000000	0.00000000	0
SRR27862880.85501_m2	+1	1181	1331	150	1.00000000	0.00000000	0
SRR27862880.227001_m2	+1	1187	1338	151	1.00000000	0.00000000	0
SRR27862880.89001_m1	+1	1188	1339	151	1.00000000	0.00000000	0
SRR27862880.169501_m1	-1	1194	1345	151	1.00000000	0.00000000	0
SRR27862880.240501_m2	+1	1195	1345	150	1.00000000	0.00000000	0
SRR27862880.92001_m1	-1	1201	1351	150	1.00000000	0.00000000	0
SRR27862880.199501_m1	-1	1208	1358	150	1.00000000	0.00000000	0
SRR27862880.185001_m2	+1	1212	1363	151	1.00000000	0.00000000	0
SRR27862880.2501_m1	+1	1219	1370	151	1.00000000	0.00000000	0
SRR27862880.94501_m2	-1	1219	1369	150	1.00000000	0.00000000	0
SRR27862880.14501_m1	-1	1220	1371	151	1.00000000	0.00000000	0
SRR27862880.238001_m1	+1	1220	1371	151	1.00000000	0.00000000	0
SRR27862880.238501_m2	+1	1220	1371	151	1.00000000	0.00000000	0
SRR27862880.80001_m1	-1	1220	1371	151	1.00000000	0.00000000	0
SRR27862880.239501_m1	-1	1228	1379	151	1.00000000	0.00000000	0
SRR27862880.66501_m1	-1	1234	1385	151	0.97350993	0.02649007	0
SRR27862880.8501_m2	+1	1237	1387	150	1.00000000	0.00000000	0
SRR27862880.232001_m2	-1	1241	1390	149	1.00000000	0.00000000	0
SRR27862880.100501_m2	-1	1244	1395	151	1.00000000	0.00000000	0
SRR27862880.28001_m1	-1	1248	1398	150	1.00000000	0.00000000	0
SRR27862880.119501_m2	-1	1250	1401	151	1.00000000	0.00000000	0
SRR27862880.36501_m2	-1	1254	1404	150	1.00000000	0.00000000	0
SRR27862880.64501_m1	+1	1261	1410	149	1.00000000	0.00000000	0
SRR27862880.225001_m2	+1	1263	1413	150	1.00000000	0.00000000	0
SRR27862880.68001_m2	+1	1271	1422	151	1.00000000	0.00000000	0
SRR27862880.117001_m2	+1	1272	1422	150	1.00000000	0.00000000	0
SRR27862880.124501_m2	+1	1276	1426	150	0.99333333	0.00666667	0
SRR27862880.144001_m1	-1	1276	1427	151	1.00000000	0.00000000	0
SRR27862880.79001_m2	-1	1284	1433	149	1.00000000	0.00000000	0
SRR27862880.245001_m1	-1	1291	1440	149	1.00000000	0.00000000	0
SRR27862880.246501_m1	+1	1313	1459	146	1.00000000	0.00000000	0
SRR27862880.197501_m1	+1	1315	1461	146	1.00000000	0.00000000	0
SRR27862880.167001_m2	-1	1320	1470	150	1.00000000	0.00000000	0
SRR27862880.88001_m2	+1	1322	1472	150	1.00000000	0.00000000	0
SRR27862880.49001_m2	+1	1328	1478	150	1.00000000	0.00000000	0
SRR27862880.177001_m1	-1	1332	1483	151	1.00000000	0.00000000	0
SRR27862880.95001_m1	-1	1340	1491	151	1.00000000	0.00000000	0
SRR27862880.129501_m1	+1	1341	1492	151	1.00000000	0.00000000	0
SRR27862880.154501_m2	+1	1344	1495	151	1.00000000	0.00000000	0
SRR27862880.184001_m2	-1	1345	1495	150	1.00000000	0.00000000	0
SRR27862880.188501_m2	+1	1357	1508	151	1.00000000	0.00000000	0
SRR27862880.156001_m1	+1	1368	1519	151	1.00000000	0.00000000	0
SRR27862880.18501_m2	+1	1369	1520	151	1.00000000	0.00000000	0
SRR27862880.47501_m2	+1	1369	1520	151	1.00000000	0.00000000	0
SRR27862880.58001_m1	-1	1373	1523	150	1.00000000	0.00000000	0
SRR27862880.95501_m1	+1	1383	1534	151	1.00000000	0.00000000	0
SRR27862880.97501_m1	+1	1384	1535	151	1.00000000	0.00000000	0
SRR27862880.89001_m2	-1	1385	1535	150	1.00000000	0.00000000	0
SRR27862880.17001_m1	+1	1388	1539	151	1.00000000	0.00000000	0
SRR27862880.135501_m1	+1	1389	1540	151	0.99337748	0.00662252	0
SRR27862880.141501_m1	+1	1391	1542	151	1.00000000	0.00000000	0
SRR27862880.201001_m1	+1	1392	1543	151	1.00000000	0.00000000	0
SRR27862880.36001_m2	+1	1404	1554	150	1.00000000	0.00000000	0
SRR27862880.99001_m1	+1	1407	1558	151	1.00000000	0.00000000	0
SRR27862880.13501_m2	+1	1413	1564	151	0.99337748	0.00662252	0
SRR27862880.238001_m2	-1	1418	1568	150	1.00000000	0.00000000	0
SRR27862880.227001_m1	-1	1420	1571	151	1.00000000	0.00000000	0
SRR27862880.8501_m1	-1	1422	1572	150	1.00000000	0.00000000	0
SRR27862880.196501_m2	+1	1423	1573	150	1.00000000	0.00000000	0
SRR27862880.185001_m1	-1	1426	1575	149	1.00000000	0.00000000	0
SRR27862880.188501_m1	-1	1430	1581	151	1.00000000	0.00000000	0
SRR27862880.140001_m1	+1	1440	1590	150	1.00000000	0.00000000	0
SRR27862880.178001_m2	+1	1441	1590	149	0.98657718	0.01342282	0
SRR27862880.2501_m2	-1	1441	1592	151	1.00000000	0.00000000	0
SRR27862880.136501_m2	+1	1443	1594	151	1.00000000	0.00000000	0
SRR27862880.238501_m1	-1	1443	1594	151	1.00000000	0.00000000	0
SRR27862880.85501_m1	-1	1451	1602	151	1.00000000	0.00000000	0
SRR27862880.216501_m2	+1	1471	1620	149	1.00000000	0.00000000	0
SRR27862880.68001_m1	-1	1472	1623	151	1.00000000	0.00000000	0
SRR27862880.64501_m2	-1	1478	1629	151	1.00000000	0.00000000	0
SRR27862880.124501_m1	-1	1491	1642	151	1.00000000	0.00000000	0
SRR27862880.197501_m2	-1	1500	1651	151	1.00000000	0.00000000	0
SRR27862880.225001_m1	-1	1503	1654	151	1.00000000	0.00000000	0
SRR27862880.6501_m1	+1	1516	1667	151	1.00000000	0.00000000	0
SRR27862880.229001_m2	+1	1520	1670	150	0.98000000	0.02000000	0
SRR27862880.66001_m1	+1	1520	1671	151	1.00000000	0.00000000	0
SRR27862880.151501_m2	+1	1525	1675	150	1.00000000	0.00000000	0
SRR27862880.88001_m1	-1	1525	1675	150	1.00000000	0.00000000	0
SRR27862880.28501_m1	+1	1533	1684	151	1.00000000	0.00000000	0
SRR27862880.117001_m1	-1	1540	1690	150	1.00000000	0.00000000	0
SRR27862880.155001_m2	+1	1540	1690	150	1.00000000	0.00000000	0
SRR27862880.246501_m2	-1	1544	1695	151	1.00000000	0.00000000	0
SRR27862880.240501_m1	-1	1546	1697	151	1.00000000	0.00000000	0
SRR27862880.129501_m2	-1	1554	1704	150	1.00000000	0.00000000	0
SRR27862880.222501_m1	+1	1555	1706	151	1.00000000	0.00000000	0
SRR27862880.116001_m1	+1	1558	1709	151	1.00000000	0.00000000	0
SRR27862880.171501_m1	+1	1559	1710	151	1.00000000	0.00000000	0
SRR27862880.18501_m1	-1	1562	1713	151	1.00000000	0.00000000	0
SRR27862880.49001_m1	-1	1562	1713	151	1.00000000	0.00000000	0
SRR27862880.47501_m1	-1	1570	1721	151	1.00000000	0.00000000	0
SRR27862880.141501_m2	-1	1589	1739	150	1.00000000	0.00000000	0
SRR27862880.48001_m1	+1	1596	1747	151	1.00000000	0.00000000	0
SRR27862880.59001_m2	+1	1596	1747	151	1.00000000	0.00000000	0
SRR27862880.95501_m2	-1	1597	1746	149	1.00000000	0.00000000	0
SRR27862880.201001_m2	-1	1598	1749	151	1.00000000	0.00000000	0
SRR27862880.86001_m1	+1	1601	1751	150	1.00000000	0.00000000	0
SRR27862880.154501_m1	-1	1603	1753	150	1.00000000	0.00000000	0
SRR27862880.21001_m1	+1	1611	1762	151	1.00000000	0.00000000	0
SRR27862880.198501_m2	+1	1615	1765	150	1.00000000	0.00000000	0
SRR27862880.97501_m2	-1	1615	1766	151	1.00000000	0.00000000	0
SRR27862880.135501_m2	-1	1619	1769	150	1.00000000	0.00000000	0
SRR27862880.221001_m1	-1	1619	1769	150	1.00000000	0.00000000	0
SRR27862880.221001_m2	+1	1619	1769	150	1.00000000	0.00000000	0
SRR27862880.195001_m1	+1	1623	1773	150	1.00000000	0.00000000	0
SRR27862880.17001_m2	-1	1627	1778	151	1.00000000	0.00000000	0
SRR27862880.13501_m1	-1	1628	1779	151	1.00000000	0.00000000	0
SRR27862880.156001_m2	-1	1630	1780	150	1.00000000	0.00000000	0
SRR27862880.140001_m2	-1	1636	1786	150	0.99333333	0.00666667	0
SRR27862880.196501_m1	-1	1638	1789	151	1.00000000	0.00000000	0
SRR27862880.36001_m1	-1	1638	1788	150	1.00000000	0.00000000	0
SRR27862880.178001_m1	-1	1640	1791	151	1.00000000	0.00000000	0
SRR27862880.231001_m1	+1	1649	1799	150	1.00000000	0.00000000	0
SRR27862880.191501_m1	+1	1655	1805	150	1.00000000	0.00000000	0
SRR27862880.136501_m1	-1	1670	1821	151	1.00000000	0.00000000	0
SRR27862880.216501_m1	-1	1671	1822	151	1.00000000	0.00000000	0
SRR27862880.99001_m2	-1	1690	1840	150	1.00000000	0.00000000	0
SRR27862880.48001_m2	-1	1700	1850	150	1.00000000	0.00000000	0
SRR27862880.18001_m2	+1	1704	1855	151	1.00000000	0.00000000	0
SRR27862880.6501_m2	-1	1714	1864	150	1.00000000	0.00000000	0
SRR27862880.229001_m1	-1	1731	1877	146	0.95205479	0.04794521	0
SRR27862880.222501_m2	-1	1742	1891	149	1.00000000	0.00000000	0
SRR27862880.154001_m2	+1	1744	1893	149	1.00000000	0.00000000	0
SRR27862880.154001_m1	-1	1751	1902	151	1.00000000	0.00000000	0
SRR27862880.28501_m2	-1	1751	1902	151	1.00000000	0.00000000	0
SRR27862880.151501_m1	-1	1753	1903	150	1.00000000	0.00000000	0
SRR27862880.57501_m1	+1	1756	1907	151	1.00000000	0.00000000	0
SRR27862880.191001_m1	+1	1771	1922	151	1.00000000	0.00000000	0
SRR27862880.171501_m2	-1	1773	1923	150	1.00000000	0.00000000	0
SRR27862880.155001_m1	-1	1777	1928	151	0.99337748	0.00662252	0
SRR27862880.132501_m1	-1	1781	1921	140	1.00000000	0.00000000	0
SRR27862880.132501_m2	+1	1781	1921	140	1.00000000	0.00000000	0
SRR27862880.66001_m2	-1	1787	1938	151	1.00000000	0.00000000	0
SRR27862880.170001_m1	+1	1797	1948	151	1.00000000	0.00000000	0
SRR27862880.31501_m2	+1	1805	1954	149	1.00000000	0.00000000	0
SRR27862880.116001_m2	-1	1807	1957	150	1.00000000	0.00000000	0
SRR27862880.86001_m2	-1	1807	1958	151	1.00000000	0.00000000	0
SRR27862880.224501_m1	+1	1809	1960	151	1.00000000	0.00000000	0
SRR27862880.59001_m1	-1	1811	1962	151	1.00000000	0.00000000	0
SRR27862880.236001_m1	+1	1817	1967	150	1.00000000	0.00000000	0
SRR27862880.21001_m2	-1	1829	1978	149	0.99328859	0.00671141	0
SRR27862880.247001_m2	+1	1831	1979	148	1.00000000	0.00000000	0
SRR27862880.90001_m1	+1	1837	1988	151	1.00000000	0.00000000	0
SRR27862880.61501_m1	+1	1839	1990	151	1.00000000	0.00000000	0
SRR27862880.155501_m1	+1	1843	1993	150	1.00000000	0.00000000	0
SRR27862880.198501_m1	-1	1843	1994	151	1.00000000	0.00000000	0
SRR27862880.195001_m2	-1	1851	2002	151	1.00000000	0.00000000	0
SRR27862880.54501_m2	+1	1851	2002	151	1.00000000	0.00000000	0
SRR27862880.136001_m2	+1	1858	2009	151	1.00000000	0.00000000	0
